CODE_FANTOIR;RIVOLI;CLE_CONTROLE
5910091946;1946;L
5910091947;1947;M
5910091948;1948;N
5910091949;1949;P
5910091950;1950;R
5910091951;1951;S
5910091952;1952;T
5910091953;1953;U
5910091954;1954;V
5910091955;1955;W
5910091956;1956;X
5910091957;1957;Y
5910091959;1959;A
5910091960;1960;B
5910091961;1961;C
5910091962;1962;D
5910091963;1963;E
5910091964;1964;F
5910091965;1965;G
5910091966;1966;H
5910091967;1967;J
5910091968;1968;K
5910091969;1969;L
5910091970;1970;M
5910091975;1975;T
5910091976;1976;U
5910091977;1977;V
5910091978;1978;W
5910092000;2000;V
5910092010;2010;F
5910092020;2020;S
5910092030;2030;C
5910092040;2040;N
5910092050;2050;Z
5910092060;2060;K
5910092070;2070;W
5910092080;2080;G
5910092090;2090;T
5910092100;2100;D
5910092105;2105;J
5910092110;2110;P
5910092120;2120;A
5910092130;2130;L
5910092140;2140;X
5910092150;2150;H
5910092160;2160;U
5910092170;2170;E
5910092180;2180;R
5910092190;2190;B
5910092200;2200;M
5910092205;2205;T
5910092210;2210;Y
5910092220;2220;J
5910092230;2230;V
5910092240;2240;F
5910092250;2250;S
5910092260;2260;C
5910092270;2270;N
5910092280;2280;Z
5910092290;2290;K
5910092300;2300;W
5910092310;2310;G
5910092320;2320;T
5910092330;2330;D
5910092340;2340;P
5910092350;2350;A
5910092355;2355;F
5910092360;2360;L
5910092370;2370;X
5910092380;2380;H
5910092390;2390;U
5910092400;2400;E
5910092410;2410;R
5910092420;2420;B
5910092430;2430;M
5910092440;2440;Y
5910092450;2450;J
5910092460;2460;V
5910092470;2470;F
5910092471;2471;G
5910092480;2480;S
5910092490;2490;C
5910092500;2500;N
5910092510;2510;Z
5910092520;2520;K
5910092530;2530;W
5910092540;2540;G
5910092550;2550;T
5910092560;2560;D
5910092570;2570;P
5910092580;2580;A
5910092590;2590;L
5910092600;2600;X
5910092610;2610;H
5910092620;2620;U
5910092625;2625;Z
5910092630;2630;E
5910092640;2640;R
5910092650;2650;B
5910092660;2660;M
5910092670;2670;Y
5910092680;2680;J
5910092690;2690;V
5910092700;2700;F
5910092710;2710;S
5910092720;2720;C
5910092730;2730;N
5910092740;2740;Z
5910092750;2750;K
5910092760;2760;W
5910092770;2770;G
5910092780;2780;T
5910092790;2790;D
5910092800;2800;P
5910092810;2810;A
5910092820;2820;L
5910092830;2830;X
5910092840;2840;H
5910092850;2850;U
5910092860;2860;E
5910092870;2870;R
5910092880;2880;B
5910092890;2890;M
5910092900;2900;Y
5910092910;2910;J
5910092920;2920;V
5910092930;2930;F
5910092940;2940;S
5910092950;2950;C
5910092960;2960;N
5910092970;2970;Z
5910092980;2980;K
5910092990;2990;W
5910093000;3000;G
5910093010;3010;T
5910093020;3020;D
5910093030;3030;P
5910093040;3040;A
5910093050;3050;L
5910093060;3060;X
5910093070;3070;H
5910093080;3080;U
5910093090;3090;E
5910093100;3100;R
5910093110;3110;B
5910093120;3120;M
5910093130;3130;Y
5910093140;3140;J
5910093150;3150;V
5910093160;3160;F
5910093170;3170;S
5910093180;3180;C
5910093190;3190;N
5910093200;3200;Z
5910093210;3210;K
5910093220;3220;W
5910093230;3230;G
5910093240;3240;T
5910093250;3250;D
5910093260;3260;P
5910093270;3270;A
5910093280;3280;L
5910093290;3290;X
5910093300;3300;H
5910093310;3310;U
5910093320;3320;E
5910093330;3330;R
5910093340;3340;B
